NHSUK Postcode,DoS Service Postcode,DoS Service UID,NHSUK Postcode,DoS Service Postcode
V013924,V13924,147587,LA18 5DW,LA18 5DN
V010607,V10607,1359470037,LU7 4SZ,LU7 4SW
V010452,V10452,1378290975,LE15 6DH,LE8 4DN
V002206,V02206,160054,E14 6GG,E14 6AH
V006459,V06459,1363343718,MK40 2NR,MK40 2NT
V004878,V04878,162506,N17 7HS,N17 7EB
V003547,V03547,131774,LU3 4AD,LU3 4BL
V000633,V00633,160539,SW2 4QY,SW2 4DU
V000662,V00662,160575,SE17 3BZ,SE17 2TE
V003540,V03540,160448,RM14 2AD,NG5 2JJ
V004207,V04207,162879,EC1V 9HX,EC1V 9NJ
V000776,V00776,1334838809,TW13 4HX,SG7 5NR
V003111,V03111,159312,E6 5LX,E6 5JS
V002678,V02678,1480930883,N1 7RD,N16 8JN
V000393,V00393a,158575,NR32 1PA,NR32 3AZ
V000420,V0004201,169972,CB8 8JX,SL1 1DN
V000420,V00420,155917,CB8 8JX,CB8 8SX
V002826,V02826,155966,CB9 9DZ,CB9 9DX
V004783,V04783,124916,LE16 7DS,LE16 7DX
V009085,V09085,124872,LE11 3TU,LE11 3TT
V008647,V08647,125096,LE4 6JH,LE4 6JL
V006110,V06110,124861,LE17 4NF,LE17 4NG
V004965,V04965,155892,CW11 4NE,IP1 3QH
V007440,V0074401,167542,BB6 7AA,HP9 2LS
V000915,V00915,141549,BA4 5BE,BA4 5BL
V004438,V04438,141561,BA20 1PQ,BA20 1BQ
V002419,V02419,137821,SP8 4QH,SP8 4QP
V001179,V01179,165357,PE32 1FE,PE32 1AR
V010453,V10453,124923,LE67 3XF,LE67 3QU
V012299,V12299,168276,OX3 7RD,OX3 8DJ
V005679,V0567901,168465,OX10 8DL,OX10 0BW
V013258,V13258,168214,OX16 5QD,OX16 5QB
V005765,V05765,162460,CR4 1BD,CR4 1BP
V014313,V14313,164552,SM6 7JB,SM6 7BJ
V002064,V02064,1325842220,SW11 3BS,SW11 4PR
V014118,V14118,169974,SL3 9EN,SL3 9HB
V007290,V0729001,170249,SO22 4PP,SO23 0HL
V007080,V07080,124880,GU34 2RE,LE7 7AB
V017883,V17883,169476,PO8 8DZ,PO8 8DL
V007081,V0708101,169017,GU34 1HN,GU34 2RE
V004108,V0410801,169492,PO11 9EF,GU26 6HJ
V007108,V07108,169072,RG22 4LP,RG22 4LQ
V014451,V14451,1360242483,SO30 0BJ,SO30 0ZU
V007799,V07799,157190,SP4 7HQ,SP4 7AN
V012875,V12875,157381,BS31 1AF,BS31 1BG
V013255,V13255,138302,BA9 9JJ,BA9 9JF
V010295,V10295,137822,BH21 1HG,BH21 1JQ
V011585,V11585,137833,DT6 5DU,DT6 5BJ
V013564,V13564,155940,IP6 8AY,IP6 8AT
V019639,V19639,1359468254,MK40 1DN,NG5 2JJ
V005783,V05783,1334825885,SG5 1LA,SG5 1LH
V003588,V03588,169472,PO9 2AY,PO9 2AZ
V007583,V07583,160509,SE3 9YR,SE3 9FA
V009236,V09236,138266,BA11 1EY,BA11 4BS
